MPAR_124	MPAR_125	MPAR_126	MPAR_127	MPAR_128	MPAR_129	MPAR_132	MPAR_133	MPAR_200	MPAR_201	MPAR_203	MPAR_205	MPAR_208	MPAR_210	MPAR_211	MPAR_212	MPAR_214	MPAR_215	MPAR_77	MPAR_78	MPAR_79	MPAR_80	MPAR_81	MPAR_83	MPAR_87	MPAR_88	MPAR_89	MPAR_90	MPAR_91	MPAR_93	OTU
100.0	100.0	99.98855	100.0	100.0	99.99233	98.14184	100.0	99.88118	100.0	99.97466	100.0	100.0	100.0	100.0	99.97398	100.0	100.0	100.0	100.0	99.83424	100.0	100.0	100.0	100.0	99.98447	100.0	100.0	99.4135	100.0	OTU0
33.15072	25.21423	38.06827	37.8664	48.50238	36.99641	29.22813	35.46199	35.65467	17.05353	50.17291	19.76853	18.75483	44.76166	45.54844	16.69581	40.82287	50.04016	38.0432	37.52948	49.49407	41.05625	30.88845	30.93893	2.83916	35.14729	21.80526	15.96523	40.59508	53.09683	OTU1
17.84881	7.85364	16.37042	16.88226	10.49326	14.96188	24.86213	21.13764	13.24656	10.92916	12.57016	10.80949	8.70116	16.26294	15.3408	12.6631	12.86897	19.64552	20.34788	18.28487	12.13611	12.54588	12.94561	13.39367	4.32384	20.97348	7.61914	45.59132	10.48352	14.12618	OTU2
13.81946	12.40443	6.4439	8.77256	13.07135	4.21855	1.42624	17.30598	12.50162	6.63584	7.89371	9.13477	4.58504	7.92925	7.4132	5.11788	12.1716	14.59391	15.10713	7.76013	2.67649	5.2412	11.67282	4.02308	0.10361	10.04491	10.48314	6.56147	8.97633	8.10445	OTU3
11.24452	24.42453	14.03526	9.59249	2.17765	1.39216	6.18004	4.33096	3.13341	25.04885	1.60153	50.00344	46.02372	14.54656	8.82217	7.25625	4.71748	7.63081	3.596	28.23373	1.3328	3.79651	17.4768	20.3473	89.73547	3.07394	37.06852	21.29466	1.83399	3.03869	OTU4
10.51772	5.86466	17.3495	14.1745	13.44183	34.19308	8.6529	8.75861	11.26052	0.37792	13.30263	0.57052	4.83269	9.51663	12.02106	0.1781	6.61636	2.13123	12.09017	2.11685	18.62271	21.65221	15.45101	1.64007	0.0	12.45266	9.34012	6.90618	7.42401	15.64582	OTU5
6.62021	4.13092	2.33427	2.03188	1.94902	0.52717	8.80537	5.23078	0.65159	1.33559	5.81953	1.64249	0.18535	4.71308	5.38185	0.03087	0.62259	2.92805	2.01231	2.46538	6.38269	1.37682	5.42436	0.78154	0.0	5.6839	5.41738	0.30474	0.22677	0.36122	OTU6
5.01	16.22372	1.98669	5.79966	3.25875	3.65715	8.71633	3.57934	16.16897	38.44223	6.28336	6.4566	13.94761	1.65046	4.30513	57.99924	22.16317	2.85355	3.7566	3.19672	5.12736	7.76072	3.42634	28.83855	2.99792	11.01112	6.78045	2.46745	28.31661	4.36169	OTU7
1.10055	0.26935	0.38688	1.56442	3.29806	1.21422	4.74422	0.77248	1.0762	0.13116	0.36259	0.0	2.15691	0.4436	0.69195	0.02968	0.00885	0.06359	0.74578	0.08529	0.65812	3.5046	0.24312	0.03685	0.0	0.56336	0.09124	0.23719	0.21818	0.68113	OTU8
0.67232	1.1089	2.8841	2.75216	1.91089	2.55985	3.51873	3.06304	3.92798	0.00872	1.14988	0.00144	0.81268	0.17583	0.32722	0.0	0.00812	0.11317	3.62697	0.32753	2.50686	3.06582	2.10932	0.0	0.0	0.61373	1.22813	0.54687	0.3408	0.51614	OTU9
