Kingdom	Phylum	Class	Order	Family	Genus	Species	Strain	OTU
Bacteria	None	None	None	None	None	None	None	OTU0
Bacteria	Bacteroidota	None	None	None	None	None	None	OTU1
Bacteria	Firmicutes	None	None	None	None	None	None	OTU2
Bacteria	Fusobacteria	None	None	None	None	None	None	OTU3
Bacteria	Actinobacteria	None	None	None	None	None	None	OTU4
Bacteria	Spirochaetes	None	None	None	None	None	None	OTU5
Bacteria	Candidatus_Saccharibacteria	None	None	None	None	None	None	OTU6
Bacteria	Proteobacteria	None	None	None	None	None	None	OTU7
Bacteria	Synergistetes	None	None	None	None	None	None	OTU8
Bacteria	Tenericutes	None	None	None	None	None	None	OTU9
Bacteria	Candidatus_Absconditabacteria	None	None	None	None	None	None	OTU10
Bacteria	Bacteroidota	Bacteroidia	None	None	None	None	None	OTU11
Bacteria	Fusobacteria	Fusobacteriia	None	None	None	None	None	OTU12
Bacteria	Actinobacteria	Actinomycetia	None	None	None	None	None	OTU13
Bacteria	Firmicutes	Negativicutes	None	None	None	None	None	OTU14
Bacteria	Spirochaetes	Spirochaetia	None	None	None	None	None	OTU15
Bacteria	Bacteroidota	Flavobacteriia	None	None	None	None	None	OTU16
Bacteria	Firmicutes	Clostridia	None	None	None	None	None	OTU17
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonadia	None	None	None	None	None	OTU18
Bacteria	Spirochaetes	CFGB1017	None	None	None	None	None	OTU19
Bacteria	Proteobacteria	Epsilonproteobacteria	None	None	None	None	None	OTU20
Bacteria	Bacteroidota	Bacteroidota_unclassified	None	None	None	None	None	OTU21
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	None	None	None	None	None	OTU22
Bacteria	Firmicutes	Bacilli	None	None	None	None	None	OTU23
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanoperiomorbia	None	None	None	None	None	OTU24
Bacteria	Bacteroidota	CFGB494	None	None	None	None	None	OTU25
Bacteria	Synergistetes	Synergistia	None	None	None	None	None	OTU26
Bacteria	Bacteroidota	CFGB570	None	None	None	None	None	OTU27
Bacteria	Proteobacteria	Gammaproteobacteria	None	None	None	None	None	OTU28
Bacteria	Proteobacteria	Deltaproteobacteria	None	None	None	None	None	OTU29
Bacteria	Proteobacteria	Betaproteobacteria	None	None	None	None	None	OTU30
Bacteria	Tenericutes	Tenericutes_unclassified	None	None	None	None	None	OTU31
Bacteria	Firmicutes	Tissierellia	None	None	None	None	None	OTU32
Bacteria	Proteobacteria	CFGB4196	None	None	None	None	None	OTU33
Bacteria	Actinobacteria	Coriobacteriia	None	None	None	None	None	OTU34
Bacteria	Bacteroidota	CFGB651	None	None	None	None	None	OTU35
Bacteria	Firmicutes	CFGB1762	None	None	None	None	None	OTU36
Bacteria	Bacteroidota	CFGB496	None	None	None	None	None	OTU37
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanosyncoccalia	None	None	None	None	None	OTU38
Bacteria	Firmicutes	CFGB4967	None	None	None	None	None	OTU39
Bacteria	Firmicutes	Erysipelotrichia	None	None	None	None	None	OTU40
Bacteria	Firmicutes	CFGB1207	None	None	None	None	None	OTU41
Bacteria	Firmicutes	CFGB47647	None	None	None	None	None	OTU42
Bacteria	Firmicutes	CFGB82399	None	None	None	None	None	OTU43
Bacteria	Candidatus_Saccharibacteria	CFGB4355	None	None	None	None	None	OTU44
Bacteria	Firmicutes	CFGB1764	None	None	None	None	None	OTU45
Bacteria	Bacteroidota	CFGB47554	None	None	None	None	None	OTU46
Bacteria	Firmicutes	CFGB67123	None	None	None	None	None	OTU47
Bacteria	Candidatus_Absconditabacteria	Candidatus_Absconditabacteria_unclassified	None	None	None	None	None	OTU48
Bacteria	Firmicutes	CFGB1781	None	None	None	None	None	OTU49
Bacteria	Firmicutes	CFGB1230	None	None	None	None	None	OTU50
Bacteria	Firmicutes	CFGB1261	None	None	None	None	None	OTU51
Bacteria	Firmicutes	CFGB16518	None	None	None	None	None	OTU52
Bacteria	Firmicutes	CFGB72752	None	None	None	None	None	OTU53
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	None	None	None	None	OTU54
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	None	None	None	None	OTU55
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	None	None	None	None	OTU56
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	None	None	None	None	OTU57
Bacteria	Firmicutes	Negativicutes	Selenomonadales	None	None	None	None	OTU58
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	None	None	None	None	OTU59
Bacteria	Firmicutes	Clostridia	Eubacteriales	None	None	None	None	OTU60
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	None	None	None	None	OTU61
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonadia	Candidatus_Saccharimonadales	None	None	None	None	OTU62
Bacteria	Spirochaetes	CFGB1017	OFGB1017	None	None	None	None	OTU63
Bacteria	Firmicutes	Negativicutes	Veillonellales	None	None	None	None	OTU64
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	None	None	None	None	OTU65
Bacteria	Bacteroidota	Bacteroidota_unclassified	Bacteroidota_unclassified	None	None	None	None	OTU66
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	None	None	None	None	OTU67
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanoperiomorbia	Candidatus_Nanoperiomorbales	None	None	None	None	OTU68
Bacteria	Bacteroidota	CFGB494	OFGB494	None	None	None	None	OTU69
Bacteria	Firmicutes	Bacilli	Lactobacillales	None	None	None	None	OTU70
Bacteria	Synergistetes	Synergistia	Synergistales	None	None	None	None	OTU71
Bacteria	Bacteroidota	CFGB570	OFGB570	None	None	None	None	OTU72
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	None	None	None	None	OTU73
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	None	None	None	None	OTU74
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	None	None	None	None	OTU75
Bacteria	Tenericutes	Tenericutes_unclassified	Mycoplasmoidales	None	None	None	None	OTU76
Bacteria	Firmicutes	Tissierellia	Tissierellales	None	None	None	None	OTU77
Bacteria	Proteobacteria	CFGB4196	OFGB4196	None	None	None	None	OTU78
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	None	None	None	None	OTU79
Bacteria	Firmicutes	Bacilli	Bacillales	None	None	None	None	OTU80
Bacteria	Bacteroidota	CFGB651	OFGB651	None	None	None	None	OTU81
Bacteria	Firmicutes	CFGB1762	OFGB1762	None	None	None	None	OTU82
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	None	None	None	None	OTU83
Bacteria	Bacteroidota	CFGB496	OFGB496	None	None	None	None	OTU84
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanosyncoccalia	Candidatus_Nanogingivales	None	None	None	None	OTU85
Bacteria	Firmicutes	CFGB4967	OFGB4967	None	None	None	None	OTU86
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	None	None	None	None	OTU87
Bacteria	Firmicutes	CFGB1207	OFGB1207	None	None	None	None	OTU88
Bacteria	Firmicutes	CFGB47647	OFGB47647	None	None	None	None	OTU89
Bacteria	Firmicutes	CFGB82399	OFGB82399	None	None	None	None	OTU90
Bacteria	Candidatus_Saccharibacteria	CFGB4355	OFGB4355	None	None	None	None	OTU91
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	None	None	None	None	OTU92
Bacteria	Firmicutes	CFGB1764	OFGB1764	None	None	None	None	OTU93
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	None	None	None	None	OTU94
Bacteria	Bacteroidota	CFGB47554	OFGB47554	None	None	None	None	OTU95
Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	None	None	None	None	OTU96
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	None	None	None	None	OTU97
Bacteria	Firmicutes	CFGB67123	OFGB67123	None	None	None	None	OTU98
Bacteria	Candidatus_Absconditabacteria	Candidatus_Absconditabacteria_unclassified	Candidatus_Absconditabacteria_unclassified	None	None	None	None	OTU99
Bacteria	Firmicutes	CFGB1781	OFGB1781	None	None	None	None	OTU100
Bacteria	Firmicutes	CFGB1230	OFGB1230	None	None	None	None	OTU101
Bacteria	Firmicutes	CFGB1261	OFGB1261	None	None	None	None	OTU102
Bacteria	Firmicutes	CFGB16518	OFGB16518	None	None	None	None	OTU103
Bacteria	Firmicutes	CFGB72752	OFGB72752	None	None	None	None	OTU104
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	None	None	None	OTU105
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	None	None	None	OTU106
Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	None	None	None	OTU107
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	None	None	None	OTU108
Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	None	None	None	OTU109
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	None	None	None	OTU110
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	None	None	None	OTU111
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	None	None	None	OTU112
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharimonadia	Candidatus_Saccharimonadales	Candidatus_Saccharimonadaceae	None	None	None	OTU113
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriales_Family_XIII_Incertae_Sedis	None	None	None	OTU114
Bacteria	Spirochaetes	CFGB1017	OFGB1017	FGB1017	None	None	None	OTU115
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	None	None	None	OTU116
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	None	None	None	OTU117
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	None	None	None	OTU118
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	None	None	None	OTU119
Bacteria	Bacteroidota	Bacteroidota_unclassified	Bacteroidota_unclassified	Bacteroidota_unclassified	None	None	None	OTU120
Bacteria	Candidatus_Saccharibacteria	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	Candidatus_Saccharibacteria_unclassified	None	None	None	OTU121
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanoperiomorbia	Candidatus_Nanoperiomorbales	Candidatus_Nanoperiomorbaceae	None	None	None	OTU122
Bacteria	Bacteroidota	CFGB494	OFGB494	FGB494	None	None	None	OTU123
Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	None	None	None	OTU124
Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	None	None	None	OTU125
Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	None	None	None	OTU126
Bacteria	Bacteroidota	CFGB570	OFGB570	FGB570	None	None	None	OTU127
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	None	None	None	OTU128
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	None	None	None	OTU129
Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	None	None	None	OTU130
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	None	None	None	OTU131
Bacteria	Tenericutes	Tenericutes_unclassified	Mycoplasmoidales	Metamycoplasmataceae	None	None	None	OTU132
Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	None	None	None	OTU133
Bacteria	Proteobacteria	CFGB4196	OFGB4196	FGB4196	None	None	None	OTU134
Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	None	None	None	OTU135
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	None	None	None	OTU136
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillales_unclassified	None	None	None	OTU137
Bacteria	Bacteroidota	CFGB651	OFGB651	FGB651	None	None	None	OTU138
Bacteria	Firmicutes	CFGB1762	OFGB1762	FGB1762	None	None	None	OTU139
Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Micrococcaceae	None	None	None	OTU140
Bacteria	Bacteroidota	CFGB496	OFGB496	FGB496	None	None	None	OTU141
Bacteria	Candidatus_Saccharibacteria	Candidatus_Nanosyncoccalia	Candidatus_Nanogingivales	Candidatus_Nanogingivalaceae	None	None	None	OTU142
Bacteria	Firmicutes	CFGB4967	OFGB4967	FGB4967	None	None	None	OTU143
Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	None	None	None	OTU144
Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	None	None	None	OTU145
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	None	None	None	OTU146
Bacteria	Firmicutes	CFGB1207	OFGB1207	FGB1207	None	None	None	OTU147
Bacteria	Firmicutes	CFGB47647	OFGB47647	FGB47647	None	None	None	OTU148
Bacteria	Firmicutes	CFGB82399	OFGB82399	FGB82399	None	None	None	OTU149
Bacteria	Candidatus_Saccharibacteria	CFGB4355	OFGB4355	FGB4355	None	None	None	OTU150
Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	None	None	None	OTU151
Bacteria	Firmicutes	CFGB1764	OFGB1764	FGB1764	None	None	None	OTU152
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	None	None	None	OTU153
Bacteria	Bacteroidota	CFGB47554	OFGB47554	FGB47554	None	None	None	OTU154
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	None	None	None	OTU155
Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	None	None	None	OTU156
